prospect_id,etablissement,commune,departement,stade,score_total,probabilite_ouverture_pct,priorite,signaux_total,derniere_detection,statut_commercial,action_recommandee,ordre_priorite,ordre_traitement
P-0001,Palais de la Méditerranée - The Unbound Collection by Hyatt,Nice,06,Ouvert,167,33,Intéressant,0,2026-06-18,Non contacté,Veille mensuelle,3,1
P-0013,La Réserve de Beaulieu,Beaulieu-sur-Mer,06,Ouvert,167,33,Intéressant,0,2026-03-04,Non contacté,Veille mensuelle,3,2
P-0020,Shanael,Toulon,83,Ouvert,167,33,Intéressant,0,2025-11-10,Non contacté,Veille mensuelle,3,3
P-0017,Hôtel du Couvent,Nice,06,Ouvert,167,33,Intéressant,0,2024-06-13,Non contacté,Veille mensuelle,3,4
P-0021,Le Yen Toulon,Toulon,83,Ouvert,166,33,Intéressant,0,2026-05-29,Non contacté,Veille mensuelle,3,5
P-0034,Hôtel Posidonia et restaurant Sacha,Nice,06,Travaux,164,33,Intéressant,0,2026-02-18,Non contacté,Surveiller le calendrier d'ouverture,3,6
P-0022,Durant la Joie,La Valette-du-Var,83,Ouvert,164,33,Intéressant,0,2025-12-01,Non contacté,Veille mensuelle,3,7
P-0014,Villa Miraé,Antibes,06,Ouvert,164,33,Intéressant,0,2025-03-20,Non contacté,Veille mensuelle,3,8
P-0003,Zannier Bendor,Bandol,83,À vérifier,162,32,Intéressant,0,2025-10-31,Non contacté,Surveiller le calendrier d'ouverture,3,9
P-0004,Château Rose,Grimaud,83,Ouvert,162,32,Intéressant,0,2025-06-23,Non contacté,Veille mensuelle,3,10
P-0027,La Sorga,Toulon,83,Ouvert,162,32,Intéressant,0,2025-06-09,Non contacté,Veille mensuelle,3,11
P-0007,Le Paradis du Fruit,Nice,06,Ouvert,162,32,Intéressant,0,2025-03-27,Non contacté,Veille mensuelle,3,12
P-0010,Pesca,Nice,06,Ouvert,162,32,Intéressant,0,2025-03-18,Non contacté,Veille mensuelle,3,13
P-0023,Moelleuses et Persillées,Saint-Raphaël,83,Ouvert,161,32,Intéressant,0,2025-04-15,Non contacté,Veille mensuelle,3,14
P-0025,Plagette,Saint-Aygulf,83,Ouvert,161,32,Intéressant,0,2025-03-06,Non contacté,Veille mensuelle,3,15
P-0008,Carré d'Or,Nice,06,Ouvert,160,32,Intéressant,0,2025-03-14,Non contacté,Veille mensuelle,3,16
P-0037,Plage Keller 2027,Antibes,06,Travaux,158,32,Intéressant,0,2026-04-25,Non contacté,Surveiller le calendrier d'ouverture,3,17
P-0005,Maison Mentone,Saint-Antonin-du-Var,83,Ouvert,158,32,Intéressant,0,2025-06-06,Non contacté,Veille mensuelle,3,18
P-0016,Hôtel du Mirazur,Menton,06,Projet annoncé,158,32,Intéressant,0,2025-05-13,Non contacté,Surveiller le calendrier d'ouverture,3,19
P-0002,La Réserve Estérel,Saint-Raphaël,83,À vérifier,155,31,Intéressant,0,2026-04-08,Non contacté,Surveiller le calendrier d'ouverture,3,20
P-0026,Dolce,Toulon,83,Ouvert,155,31,Intéressant,0,2025-06-13,Non contacté,Veille mensuelle,3,21
P-0006,Le Central,Nice,06,Ouvert,155,31,Intéressant,0,2025-05-20,Non contacté,Veille mensuelle,3,22
P-0036,Projet hôtelier Pariente Saint-Tropez,Saint-Tropez,83,Projet annoncé,155,31,Intéressant,0,2024-12-03,Non contacté,Surveiller le calendrier d'ouverture,3,23
P-0033,Milady,Toulon,83,Ouvert,155,31,Intéressant,0,2024-08-20,Non contacté,Veille mensuelle,3,24
P-0031,Café Croisette,Sainte-Maxime,83,Ouvert,155,31,Intéressant,0,2024-08-07,Non contacté,Veille mensuelle,3,25
P-0032,Ô Cargo,Fréjus,83,Ouvert,155,31,Intéressant,0,2024-05-17,Non contacté,Veille mensuelle,3,26
P-0041,Nouvelle concession de la plage Mala,Cap-d'Ail,06,Autorisation,152,30,Intéressant,0,2026-06-29,Non contacté,Surveiller le calendrier d'ouverture,3,27
P-0024,Nomadia,Sainte-Maxime,83,Ouvert,152,30,Intéressant,0,2026-04-01,Non contacté,Veille mensuelle,3,28
P-0040,Bar Gustave - Hôtel Hermitage,Monaco,MC,À vérifier,152,30,Intéressant,0,2026-01-12,Non contacté,Surveiller le calendrier d'ouverture,3,29
P-0011,Fira,Nice,06,Ouvert,152,30,Intéressant,0,2025-06-18,Non contacté,Veille mensuelle,3,30
P-0029,Chez Péponne,La Londe-les-Maures,83,Ouvert,152,30,Intéressant,0,2025-06-11,Non contacté,Veille mensuelle,3,31
P-0009,Grand Café des Fleurs,Nice,06,À vérifier,152,30,Intéressant,0,2025-04-18,Non contacté,Surveiller le calendrier d'ouverture,3,32
P-0030,Thomel,Toulon,83,Ouvert,150,30,Intéressant,0,2024-11-14,Non contacté,Veille mensuelle,3,33
P-0028,Lasagne Factory,Toulon,83,Ouvert,149,30,Intéressant,0,2025-08-01,Non contacté,Veille mensuelle,3,34
P-0035,La Voile d'Or,Saint-Jean-Cap-Ferrat,06,Projet annoncé,146,29,Intéressant,0,2026-06-01,Non contacté,Surveiller le calendrier d'ouverture,3,35
P-0039,Capitainerie et restaurant du port,Sainte-Maxime,83,Travaux,143,29,Intéressant,0,2025-09-20,Non contacté,Surveiller le calendrier d'ouverture,3,36
