signal_id,date_detection_utc,date_publication,territoire,zone,theme,titre,source,url,resume,requete,statut_qualification,est_nouveau
99672617394d3101b0c1,2026-08-31T11:46:15Z,2026-08-29,06,Nice,Nice,IMA Group : IMA NICE — nous constituons l'équipe d'ouverture IMA - L'Hôtellerie Restauration,L'Hôtellerie Restauration,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNNUFTZzlLT2pvQk05NHYxM1dnRlRCcUptcE8xZF9QZmRvSlUzRTM3MC11VVpuMGx0YXdOZWNLVW9IRl85ZkU4TTBZRnk1eW1qT2FoYWYwSWtJZkdoVU5oWE1SMjlxU2FkcmtPSVRaSUtnazZ4c3lJeklDOFdQUk9HQlNzOFhVdFBJakd6aF9kcGE1ZW5WRnlFdmpUbEhhVFJXQ3l1dVpZN0c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNNUFTZzlLT2pvQk05NHYxM1dnRlRCcUptcE8xZF9QZmRvSlUzRTM3MC11VVpuMGx0YXdOZWNLVW9IRl85ZkU4TTBZRnk1eW1qT2FoYWYwSWtJZkdoVU5oWE1SMjlxU2FkcmtPSVRaSUtnazZ4c3lJeklDOFdQUk9HQlNzOFhVdFBJakd6aF9kcGE1ZW5WRnlFdmpUbEhhVFJXQ3l1dVpZN0c?oc=5"" target=""_blank"">IMA Group : IMA NICE — nous constituons l'équipe d'ouverture IMA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">L'Hôtellerie Restauration</font>","""ouverture"" restaurant OR bar OR rooftop Nice",À qualifier,True
a637207d33669888556f,2026-08-31T11:46:15Z,2026-08-28,83,Hyères,Hyères,Desserte des deux sites du lycée professionnel à Hyères : le Réseau Mistral adapte son offre de transport - Nice-Matin,Nice-Matin,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOYWsxY0ZXVWJyQUdlM2VGdEd6c180RzlOOHc0TjhZeENCS0lRSllkWUJqUVRVSUcwa2NFNjROaDQ4SEVNWGFTNXZiVG1PYk1QcS1IZV9pMXRLZmM4eXJfUllVWEVtSW1QQS1SNENaRTJyV2NFaWZ6WlJzTThCSXE3VUd6MnZqTFJ0NnVucS1zZFN1NjNEOVVfeW83NHg5ZE5oYVVYeFpKd0dyN3pndlZ5QkZYRmNOdk1aZG1XOF95d0UtZ2F6QWlaWU5nVFRwYllxT2VRR1FSR0NBQVRYemtSYTBuQjFYdkxsMkhDNmx3?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxOYWsxY0ZXVWJyQUdlM2VGdEd6c180RzlOOHc0TjhZeENCS0lRSllkWUJqUVRVSUcwa2NFNjROaDQ4SEVNWGFTNXZiVG1PYk1QcS1IZV9pMXRLZmM4eXJfUllVWEVtSW1QQS1SNENaRTJyV2NFaWZ6WlJzTThCSXE3VUd6MnZqTFJ0NnVucS1zZFN1NjNEOVVfeW83NHg5ZE5oYVVYeFpKd0dyN3pndlZ5QkZYRmNOdk1aZG1XOF95d0UtZ2F6QWlaWU5nVFRwYllxT2VRR1FSR0NBQVRYemtSYTBuQjFYdkxsMkhDNmx3?oc=5"" target=""_blank"">Desserte des deux sites du lycée professionnel à Hyères : le Réseau Mistral adapte son offre de transport</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nice-Matin</font>","""ouverture"" restaurant OR plage OR hôtel Hyères",À qualifier,True
5363100394d775306d39,2026-08-31T11:46:15Z,2026-08-27,83,Hyères,Hyères,"Double rentrée, nouvel établissement pas encore prêt : Christophe Garrione, nouveau proviseur du lycée professionnel du Golf Hôtel à Hyères fait le point avant le retour des élèves - Nice-Matin",Nice-Matin,https://news.google.com/rss/articles/CBMizgJBVV95cUxPd3pBdUJzcWdLaEVYNHNSLW1ramEtMHZNVTNGMnFmQk5tdUZPRHhEc25nYnFEdVdfNUprTjZfUTVfVWdDREdWX1BMYzNtU3owZmxhTGhLZGlYa0R6YlliRjVRRElQSnhFcl9wMGZHY3VfVzJoWTlHZER4aGd5SmRxSm1FM1c4SVZ0OFNLd3d0UUVrWG9rUTIybm13b0RGSjZwOUo0bmZHdjlkenV1dXhRNGQzS0xCRnBtNldpX1hQN1lQWVVtYS1IOGo0Z294dnZKM09xZXBLYTBoMURCREtnY0hkUzM2Tk9CT0JFMEdENTFtMTFITUlGbHZaRlNWanZOS3lGR1QyUVpFU3ppR1AwSHotNWctYXpMUGp0bUNuLVlJUWJYd1JtRkFCNTF3V09fVFYwWUt3dWFQXzNoN0o0SWFMckVOaVN1WFZJSUdn?oc=5,"<a href=""https://news.google.com/rss/articles/CBMizgJBVV95cUxPd3pBdUJzcWdLaEVYNHNSLW1ramEtMHZNVTNGMnFmQk5tdUZPRHhEc25nYnFEdVdfNUprTjZfUTVfVWdDREdWX1BMYzNtU3owZmxhTGhLZGlYa0R6YlliRjVRRElQSnhFcl9wMGZHY3VfVzJoWTlHZER4aGd5SmRxSm1FM1c4SVZ0OFNLd3d0UUVrWG9rUTIybm13b0RGSjZwOUo0bmZHdjlkenV1dXhRNGQzS0xCRnBtNldpX1hQN1lQWVVtYS1IOGo0Z294dnZKM09xZXBLYTBoMURCREtnY0hkUzM2Tk9CT0JFMEdENTFtMTFITUlGbHZaRlNWanZOS3lGR1QyUVpFU3ppR1AwSHotNWctYXpMUGp0bUNuLVlJUWJYd1JtRkFCNTF3V09fVFYwWUt3dWFQXzNoN0o0SWFMckVOaVN1WFZJSUdn?oc=5"" target=""_blank"">Double rentrée, nouvel établissement pas encore prêt : Christophe Garrione, nouveau proviseur du lycée professionnel du Golf Hôtel à Hyères fait le point avant le retour des élèves</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nice-Matin</font>","""ouverture"" restaurant OR plage OR hôtel Hyères",À qualifier,True
face4577b772f2a18ab0,2026-08-31T11:46:15Z,2026-08-22,06,Nice,Nice,"Fuzu Nice, ""notre restaurant japan fusion le plus ambitieux à ce jour"" - Tribuca.net",Tribuca.net,https://news.google.com/rss/articles/CBMikgFBVV95cUxNVWJ0TXhac2RFYThWNjA4V1pLYTItRmpBTEFHTjd0dl9IRXZyQTBieUhIcndRd1JCQXhpcnlSVHRLTWI5RTluS2NlSTBiSlIxUzk0NmJ1bWhtblE0RUo4V3dVUzdTVmJYMUdTcXBaRmMwbG9yWWt2aGtNQzVfV0praWNMdlRZMzRwLVhtLVFqdzFSZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNVWJ0TXhac2RFYThWNjA4V1pLYTItRmpBTEFHTjd0dl9IRXZyQTBieUhIcndRd1JCQXhpcnlSVHRLTWI5RTluS2NlSTBiSlIxUzk0NmJ1bWhtblE0RUo4V3dVUzdTVmJYMUdTcXBaRmMwbG9yWWt2aGtNQzVfV0praWNMdlRZMzRwLVhtLVFqdzFSZw?oc=5"" target=""_blank"">Fuzu Nice, ""notre restaurant japan fusion le plus ambitieux à ce jour""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tribuca.net</font>","""ouverture"" restaurant OR bar OR rooftop Nice",À qualifier,True
1bb4268763ed18975ba9,2026-08-31T11:46:15Z,2026-08-22,83,Saint-Tropez,Saint-Tropez,Quels sont les plages rouvertes et celles encore fermées ce weekend suite au orages dans la région PACA ? - frequence-sud.fr,frequence-sud.fr,https://news.google.com/rss/articles/CBMi8AFBVV95cUxORy1ocFYxVExKN2E2dEFIZ3MwT1ZRcFRLWTBLY3FjOFpHYzZUMUlYUlZIODVIWEFPNGF5VGVqRmJRN3VhaVZCUFpIazNxY0V1TTkxTGtPSEREbm5RczJ5ZG9KeVZ3cExZa0Nmc296bkphaldvQk9KdUd2eG1mT0dwVE1DWXltOFZkbzIySUs5N3dFRmRzdTNubk9RUndkR2dla0I2Qm9wUUp6WFdCWjhPUTBuZEtSOHlZVXdLMGtSYi1TeU4wYkxTSDBGd2ZuMU9aaDJOVDVVSExWT3kzS3A1cXQ2WDRldlNlTENJcTV3TDQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxORy1ocFYxVExKN2E2dEFIZ3MwT1ZRcFRLWTBLY3FjOFpHYzZUMUlYUlZIODVIWEFPNGF5VGVqRmJRN3VhaVZCUFpIazNxY0V1TTkxTGtPSEREbm5RczJ5ZG9KeVZ3cExZa0Nmc296bkphaldvQk9KdUd2eG1mT0dwVE1DWXltOFZkbzIySUs5N3dFRmRzdTNubk9RUndkR2dla0I2Qm9wUUp6WFdCWjhPUTBuZEtSOHlZVXdLMGtSYi1TeU4wYkxTSDBGd2ZuMU9aaDJOVDVVSExWT3kzS3A1cXQ2WDRldlNlTENJcTV3TDQ?oc=5"" target=""_blank"">Quels sont les plages rouvertes et celles encore fermées ce weekend suite au orages dans la région PACA ?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">frequence-sud.fr</font>","""ouverture"" restaurant OR plage OR hôtel Saint-Tropez",À qualifier,False
2f556db8a8c3bdcf54fb,2026-08-31T11:46:15Z,2026-08-21,06,Nice,Nice,"Homard, truffe, foie gras, fruits de mer… Un restaurant semi-gastronomique à volonté ouvre ses portes ce samedi à Nice - Nice-Matin",Nice-Matin,https://news.google.com/rss/articles/CBMi_gFBVV95cUxOTmpVQlFEMEJESDF3MFc2NWthckpmTTVaQ2RaWGhpdFNLNmY2cWZkLTZTUHItR0U2VGNYNkNmXy00VFRFSHR3dFFiSUt3NXFfWmJQTFNnMUp4VjRmS2hkNmhaUU1vcVpuYkFQSTdFUXdEbzBGMVcxLW1ZZUY0dTdwTFFVVUg0TzhyVHA0S25kZm5iMWV4OVREQ1VTSjV5Y0ViXy1SdGhsM2MwcWRaZHpqeDNpeksyalhfT2dYWDFwclotNno2TFBNakkzUlN3QVJYM2pOUVdBeXBLUmd1dGhuU3BxNFpaTDRjTloxaXlsUlpMdnhTWkZSSEJCekdSdw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxOTmpVQlFEMEJESDF3MFc2NWthckpmTTVaQ2RaWGhpdFNLNmY2cWZkLTZTUHItR0U2VGNYNkNmXy00VFRFSHR3dFFiSUt3NXFfWmJQTFNnMUp4VjRmS2hkNmhaUU1vcVpuYkFQSTdFUXdEbzBGMVcxLW1ZZUY0dTdwTFFVVUg0TzhyVHA0S25kZm5iMWV4OVREQ1VTSjV5Y0ViXy1SdGhsM2MwcWRaZHpqeDNpeksyalhfT2dYWDFwclotNno2TFBNakkzUlN3QVJYM2pOUVdBeXBLUmd1dGhuU3BxNFpaTDRjTloxaXlsUlpMdnhTWkZSSEJCekdSdw?oc=5"" target=""_blank"">Homard, truffe, foie gras, fruits de mer… Un restaurant semi-gastronomique à volonté ouvre ses portes ce samedi à Nice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nice-Matin</font>","""ouverture"" restaurant OR bar OR rooftop Nice",À qualifier,False
5256129568e556d98bc1,2026-08-31T11:46:15Z,2026-08-21,83,Hyères,Hyères,Une rentrée en deux temps pour les élèves du futur lycée professionnel de Hyères - Nice-Matin,Nice-Matin,https://news.google.com/rss/articles/CBMizwFBVV95cUxOWGNhQW9PbmMzVzNtZXA3NUdzSTdqQmk1cEhWWU9iX3dkTVlKd1VMeE9ZQjhQTmYwbmxCbnBoZWtiY0IxWTZ3U1QyMWIzMnk2U19zOGloZUdreExlQXBVRmJ4dHBDeGY4NUY0N1JKcGd3b1BzV2FGcFdpaGVwMUEyb0ltMW0wZFNWVE1ZNW9DZS03OHB1MVhudFhCNmxDMlRXeUV2R1o3WEREYmNMMFdITzgzY2hKUkFnQ2xkNFlvOF9kTFRiOFdOYVl6WXU1RWc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOWGNhQW9PbmMzVzNtZXA3NUdzSTdqQmk1cEhWWU9iX3dkTVlKd1VMeE9ZQjhQTmYwbmxCbnBoZWtiY0IxWTZ3U1QyMWIzMnk2U19zOGloZUdreExlQXBVRmJ4dHBDeGY4NUY0N1JKcGd3b1BzV2FGcFdpaGVwMUEyb0ltMW0wZFNWVE1ZNW9DZS03OHB1MVhudFhCNmxDMlRXeUV2R1o3WEREYmNMMFdITzgzY2hKUkFnQ2xkNFlvOF9kTFRiOFdOYVl6WXU1RWc?oc=5"" target=""_blank"">Une rentrée en deux temps pour les élèves du futur lycée professionnel de Hyères</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nice-Matin</font>","""ouverture"" restaurant OR plage OR hôtel Hyères",À qualifier,True
a05bce7bbb3841f00575,2026-08-24T06:04:16Z,2026-08-21,83,Hyères,Hyères,Sites de baignade : réouverture - Ville d'Hyères les Palmiers,Ville d'Hyères les Palmiers,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1fWjJFV1h4cElVUjJLVUlSM2dsYTZZOTVXcl80SlJBeDd0c1U4WGQ4RmxoZUg0bjJDSlZUa0tjdGtzNG13WG9namx4WDkwRUpESHZCV0hn?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE1fWjJFV1h4cElVUjJLVUlSM2dsYTZZOTVXcl80SlJBeDd0c1U4WGQ4RmxoZUg0bjJDSlZUa0tjdGtzNG13WG9namx4WDkwRUpESHZCV0hn?oc=5"" target=""_blank"">Sites de baignade : réouverture</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ville d'Hyères les Palmiers</font>","""ouverture"" restaurant OR plage OR hôtel Hyères",À qualifier,False
bb9d7fbe8fd617d640bb,2026-08-31T11:46:15Z,2026-08-20,06,Nice,Nice,Dubble fête ses 20 ans avec une ouverture record à Nice - Presse Agence,Presse Agence,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPN3RQcV9xZVpybHRyWWxnZDhNVUFOUW5MYXprM2RZVDVxdWFEd2o1cnVxdXduMHYzRVB1Ym8wTVpBMm9uZDlnNjJ5NVEta0NKVEVVMWlTeDRyRVJlUk8yalFKTURyRTdwalZ4YW9lSlQ2Z2Nmam1rQ2p3RWpwaEJmX0xycmh1T3Eybk9WZUw5d1NVMGxSY1RONXBzVXZyWFhUUnhnTWpLNEw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxPN3RQcV9xZVpybHRyWWxnZDhNVUFOUW5MYXprM2RZVDVxdWFEd2o1cnVxdXduMHYzRVB1Ym8wTVpBMm9uZDlnNjJ5NVEta0NKVEVVMWlTeDRyRVJlUk8yalFKTURyRTdwalZ4YW9lSlQ2Z2Nmam1rQ2p3RWpwaEJmX0xycmh1T3Eybk9WZUw5d1NVMGxSY1RONXBzVXZyWFhUUnhnTWpLNEw?oc=5"" target=""_blank"">Dubble fête ses 20 ans avec une ouverture record à Nice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presse Agence</font>","""ouverture"" restaurant OR bar OR rooftop Nice",À qualifier,False
a299899367f18511e28f,2026-08-31T11:46:15Z,2026-08-16,06,Alpes-Maritimes,CHR général,Un restaurant japonais ouvre à Nice avec une formule à volonté très haut de gamme - Actu.fr,Actu.fr,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQZ0NqT1dSS0JEdElaNVlrUHdUcEc3ekJXdEREN3liVjFKaDlySzhBVlNJb0RHeF8xUmNvWE44bi1zR2NrM2lXVXVic0h3RFd6VkNsdkIzSUduTVFWenhaM2xQYW56UDkzZU9xN210MGhPRHFia01tSVpISzJGMDJ6YnhvTmdhc2hrQ2x1cDJXSlp1ellaSEdxUGxyVmJ1TFp4QlA5Q1VSWXBkODI5ZDRKSFhyYjYxTnMtek9VUENJQlM3NEp2MFJ0ZDAxbk9LaWpESlBFV3hqbDc4THFwTVBLSA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQZ0NqT1dSS0JEdElaNVlrUHdUcEc3ekJXdEREN3liVjFKaDlySzhBVlNJb0RHeF8xUmNvWE44bi1zR2NrM2lXVXVic0h3RFd6VkNsdkIzSUduTVFWenhaM2xQYW56UDkzZU9xN210MGhPRHFia01tSVpISzJGMDJ6YnhvTmdhc2hrQ2x1cDJXSlp1ellaSEdxUGxyVmJ1TFp4QlA5Q1VSWXBkODI5ZDRKSFhyYjYxTnMtek9VUENJQlM3NEp2MFJ0ZDAxbk9LaWpESlBFV3hqbDc4THFwTVBLSA?oc=5"" target=""_blank"">Un restaurant japonais ouvre à Nice avec une formule à volonté très haut de gamme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Actu.fr</font>","""ouverture"" restaurant OR hôtel OR bar Alpes-Maritimes",À qualifier,False
