prospect_id,date_evenement,type_evenement,detail,source,url,confiance_pct
P-0001,2026-06-18,prospect_initial,Base prospects existante,,,98
P-0002,2026-04-08,prospect_initial,Base prospects existante,,,90
P-0003,2025-10-31,prospect_initial,Base prospects existante,,,95
P-0004,2025-06-23,prospect_initial,Base prospects existante,,,95
P-0005,2025-06-06,prospect_initial,Base prospects existante,,,92
P-0006,2025-05-20,prospect_initial,Base prospects existante,,,90
P-0007,2025-03-27,prospect_initial,Base prospects existante,,,95
P-0008,2025-03-14,prospect_initial,Base prospects existante,,,93
P-0009,2025-04-18,prospect_initial,Base prospects existante,,,88
P-0010,2025-03-18,prospect_initial,Base prospects existante,,,95
P-0011,2025-06-18,prospect_initial,Base prospects existante,,,88
P-0012,2025-07-10,prospect_initial,Base prospects existante,,,75
P-0013,2026-03-04,prospect_initial,Base prospects existante,,,98
P-0014,2025-03-20,prospect_initial,Base prospects existante,,,96
P-0015,2025-06-24,prospect_initial,Base prospects existante,,,82
P-0016,2025-05-13,prospect_initial,Base prospects existante,,,92
P-0017,2024-06-13,prospect_initial,Base prospects existante,,,98
P-0018,2025-02-20,prospect_initial,Base prospects existante,,,76
P-0019,2025-02-20,prospect_initial,Base prospects existante,,,76
P-0020,2025-11-10,prospect_initial,Base prospects existante,,,98
P-0021,2026-05-29,prospect_initial,Base prospects existante,,,97
P-0022,2025-12-01,prospect_initial,Base prospects existante,,,96
P-0023,2025-04-15,prospect_initial,Base prospects existante,,,94
P-0024,2026-04-01,prospect_initial,Base prospects existante,,,88
P-0025,2025-03-06,prospect_initial,Base prospects existante,,,94
P-0026,2025-06-13,prospect_initial,Base prospects existante,,,90
P-0027,2025-06-09,prospect_initial,Base prospects existante,,,95
P-0028,2025-08-01,prospect_initial,Base prospects existante,,,86
P-0029,2025-06-11,prospect_initial,Base prospects existante,,,88
P-0030,2024-11-14,prospect_initial,Base prospects existante,,,87
P-0031,2024-08-07,prospect_initial,Base prospects existante,,,90
P-0032,2024-05-17,prospect_initial,Base prospects existante,,,90
P-0033,2024-08-20,prospect_initial,Base prospects existante,,,90
P-0034,2026-02-18,prospect_initial,Base prospects existante,,,96
P-0035,2026-06-01,prospect_initial,Base prospects existante,,,84
P-0036,2024-12-03,prospect_initial,Base prospects existante,,,90
P-0037,2026-04-25,prospect_initial,Base prospects existante,,,92
P-0038,2025-11-03,prospect_initial,Base prospects existante,,,72
P-0039,2025-09-20,prospect_initial,Base prospects existante,,,82
P-0040,2026-01-12,prospect_initial,Base prospects existante,,,88
P-0041,2026-06-29,prospect_initial,Base prospects existante,,,88
P-0042,2026-02-09,prospect_initial,Base prospects existante,,,80
P-0043,2026-04-13,prospect_initial,Base prospects existante,,,78
