famille,segments_cibles,demande_score,marge_score,mutualisation_score,effort_referencement,risque_stock,minimum_achat,conservation,statut_hypothese
Spiritueux sans alcool,"Hôtels premium | bars à cocktails | plages | événementiel",5,4,5,3,2,À négocier,Longue,Hypothèse à confirmer par devis
Effervescents sans alcool,"Mariages | hôtels | restaurants | yachts",5,4,5,2,2,À négocier,Longue,Hypothèse à confirmer par devis
Cocktails prêts à servir,"Plages | hôtels | clubs | événements",5,4,5,3,2,À négocier,Moyenne à longue,Hypothèse à confirmer par devis
Consommables de bar,"Bars | hôtels | plages | traiteurs",5,3,5,2,1,Faible,Longue,Extension adjacente au catalogue
Snacks apéritifs premium,"Bars | hôtels | plages | clubs sportifs",5,3,5,2,2,À négocier,Moyenne,Extension adjacente au catalogue
Boissons fonctionnelles,"Padel | fitness | spas | concepts healthy",4,3,4,3,3,À négocier,Moyenne,Tendance à tester localement
Kombucha,"Hôtels bien-être | brunchs | coworkings | healthy",3,4,3,3,4,À négocier,Courte à moyenne,Tester sur peu de références
Matcha professionnel,"Coffee shops | brunchs | hôtels | pâtisseries",3,4,3,3,2,À négocier,Longue,Tendance à tester localement
Cold brew prêt à boire,"Plages | coworkings | hôtels | commerces",3,3,4,3,4,À négocier,Courte à moyenne,Risque de rotation à mesurer
Eaux premium aromatisées,"Spas | hôtels 4-5 étoiles | yachts",3,3,4,2,2,À négocier,Longue,Extension premium à confirmer
Bières artisanales locales,"Restaurants identitaires | campings | taprooms",4,3,4,3,3,À négocier,Moyenne,Marché concurrentiel
Boissons protéinées,"Padel | fitness | retraites sportives",3,3,3,4,3,À négocier,Moyenne,Niche à documenter
Laits végétaux professionnels,"Coffee shops | brunchs | hôtels",4,2,3,2,3,Faible,Courte à moyenne,Complément peu différenciant
Thés pétillants premium,"Gastronomie | hôtels | événements sans alcool",3,5,3,4,3,À négocier,Longue,Premium expérimental
