etablissement,commune,departement,type_concept,niche,stade,horizon,date_ouverture_estimee,date_publication,signal,familles_produits,indice_confiance,source_url,statut_donnee
Nouvelle concession de la plage Mala,Cap-d'Ail,06,Restaurant et snack de plage,Plage et restauration,Autorisation,B — 3 à 6 mois,2027-04-01,2026-06-29,Le conseil municipal a approuvé une nouvelle concession de dix ans avec évolution de l'offre de restauration et création annoncée d'un snack accessible,Rosé | vins | bière | spiritueux | eaux | softs | café,88,https://www.rivieraradio.mc/article/affordable-snack-bar-planned-as-cap-dail-revamps-mala-beach-5HjdcGJ_2/,PROJET RÉEL — EXPLOITANT ET CALENDRIER À IDENTIFIER
Palais de la Méditerranée - The Unbound Collection by Hyatt,Nice,06,Hôtel 5 étoiles avec restauration,Hôtellerie de luxe,Ouvert,E — ouvert récemment,2026-06-01,2026-06-18,Réouverture début juin 2026 après sept mois de travaux et repositionnement Hyatt,Champagne | vins | spiritueux | eaux | softs | café,98,https://www.meet-in-nicecotedazur.com/reouverture-du-palais-de-la-mediterranee-a-nice-sous-la-banniere-the-unbound-collection-by-hyatt/,OUVERTURE CONFIRMÉE
La Voile d'Or,Saint-Jean-Cap-Ferrat,06,Hôtel de luxe avec restauration,Hôtellerie de luxe,Projet annoncé,C — plus de 6 mois,2027-10-01,2026-06-01,Projet de réouverture de l'hôtel emblématique annoncé pour le quatrième trimestre 2027,Champagne | vins | spiritueux | eaux | softs | café,84,https://www.facebook.com/NiceMatinCagnesVenceSLV/posts/la-r%C3%A9ouverture-de-lembl%C3%A9matique-h%C3%B4tel-la-voile-dor-qui-surplombe-le-port-de-sain/1076434877869100/,PROJET RÉEL — SOURCE SECONDAIRE À CONFIRMER
Le Yen Toulon,Toulon,83,Restaurant japonais et plage,Restauration festive,Ouvert,E — ouvert récemment,2026-06-04,2026-05-29,Ouverture d'une nouvelle implantation de l'enseigne marseillaise sur les plages du Mourillon,Saké | champagne | vins | spiritueux | bière | eaux | softs,97,https://www.lejournaldesentreprises.com/breve/lenseigne-marseillaise-le-yen-ouvre-un-nouvel-etablissement-toulon-2143663,OUVERTURE CONFIRMÉE
Plage Keller 2027,Antibes,06,Plage privée et restaurant,Plage et restauration,Travaux,C — plus de 6 mois,2027-05-01,2026-04-25,Transformation de la Plage Keller avec retour annoncé en 2027 sous une identité renouvelée,Rosé | champagne | vins | spiritueux | bière | eaux | softs,92,https://www.rivieraedition.com/fr/plage-keller-cannes-palm-beach-2026-piscine-keller/,PROJET RÉEL — CALENDRIER À SUIVRE
Embellissement du Vieux Port de Golfe-Juan,Golfe-Juan,06,Zone portuaire avec restauration,Port et restauration,Travaux,C — plus de 6 mois,2027-01-01,2026-04-13,Marché de travaux en cinq lots pour l'embellissement du Vieux Port ; opportunités commerciales et futurs exploitants à identifier,Vins | bière | spiritueux | eaux | softs | café,78,https://www.marchesonline.com/appels-offres/avis/travaux-d-embellissement-du-vieux-port-de-golfe-juan-5/ao-9575251-4,PROJET TERRITORIAL — EXPLOITANTS À IDENTIFIER
La Réserve Estérel,Saint-Raphaël,83,Hôtel avec plage et restauration,Hôtellerie littorale,À vérifier,D — date inconnue,,2026-04-08,Le Groupe Dalofi annonçait qu'une nouvelle adresse face à la Méditerranée s'apprêtait à ouvrir,Champagne | vins | spiritueux | eaux | softs | café | bière,90,https://www.tendancehotellerie.fr/articles-breves/communique-de-presse/25498-article/la-reserve-esterel-saint-raphael-le-nouvel-ecrin-confidentiel-de-la-french-riviera,PROJET RÉEL — OUVERTURE À REVALIDER
Nomadia,Sainte-Maxime,83,Restaurant avec terrasse et bar,Loisirs et restauration,Ouvert,E — ouvert récemment,,2026-04-01,Nouveau restaurant ouvert toute l'année avec 110 couverts ambiance pub et privatisations,Vins | spiritueux | cocktails | bière | eaux | softs | café,88,https://nomadia-saintemaxime.fr/fr/blog/nouveau-restaurant-sainte-maxime,OUVERTURE CONFIRMÉE — DATE À REVALIDER
La Réserve de Beaulieu,Beaulieu-sur-Mer,06,Hôtel 5 étoiles et restaurants,Hôtellerie de luxe,Ouvert,R — reprise / transformation,2026-03-27,2026-03-04,Réouverture saisonnière 2026 de l'hôtel et du Restaurant des Rois,Champagne | vins | spiritueux | eaux | softs | café,98,https://www.rivieraedition.com/fr/ouverture-dhotels-de-luxe-restaurants-cote-dazur/,RÉOUVERTURE SAISONNIÈRE CONFIRMÉE
Hôtel Posidonia et restaurant Sacha,Nice,06,Hôtel 4 étoiles et restaurant,Hôtellerie urbaine,Travaux,A — moins de 3 mois,2026-09-01,2026-02-18,Hôtel actuellement en construction rue de l'Hôtel-des-Postes avec restaurant à la même adresse,Champagne | vins | spiritueux | eaux | softs | café,96,https://www.petitesaffiches.fr/actualites%2C069/economie%2C045/le-groupe-hotelier-solestia-s%2C40684.html,PROJET RÉEL — CALENDRIER À SUIVRE
