contact_id,prospect_id,etablissement,contact_nom,fonction,organisation,telephone,email,type_contact,source_url,date_verification,niveau_fiabilite,notes
C-0001,P-0002,La Réserve Estérel,,Réception,La Réserve Estérel,04 94 19 73 55,reception@la-reserve-esterel.com,Standard établissement,https://www.la-reserve-esterel.com/,2026-08-02,Élevée,Coordonnées publiques de l'établissement
C-0002,P-0003,Zannier Bendor,Quentin Guiraud,Contact groupe / presse,Zannier Hotels,+32 (0)472 05 57 19,qguiraud@zannier.com,Contact groupe,https://www.zannier.com/contact/,2026-08-02,Élevée,Contact groupe public ; interlocuteur achats à identifier
C-0003,P-0009,Grand Café des Fleurs,,Accueil,Panorama Group,04 83 66 02 92,,Standard établissement,https://www.panorama.group/grand-cafe-des-fleurs,2026-08-02,Élevée,Numéro public de l'établissement
C-0004,P-0016,Hôtel du Mirazur,Mauro Colagreco,Porteur du projet / chef,Groupe Mauro Colagreco,+33 (0)4 92 41 86 86,reservation@mirazur.fr,Porteur de projet,https://www.mirazur.fr/hotel.html,2026-08-02,Élevée,Standard du Mirazur ; contact achats ou F&B à identifier
C-0005,P-0034,Hôtel Posidonia et restaurant Sacha,,Réception,Hôtel Posidonia,+33 4 51 68 19 80,reception@posidonia-hotel.com,Standard établissement,https://posidonia-hotel.com/contact/,2026-08-02,Élevée,Coordonnées publiques de l'établissement
C-0006,P-0035,La Voile d'Or,,Direction,La Voile d'Or,04 93 01 13 13,direction@lavoiledor.fr,Direction établissement,https://www.lavoiledor.fr/,2026-08-02,Moyenne,Contact historique à revalider avant utilisation
C-0007,P-0037,Plage Keller 2027,Stéphanie Hanion,Événementiel,Plage Keller / DB Group,+33 6 07 35 50 02,events@plagekeller.com,Contact opérationnel,https://www.plagekeller.com/,2026-08-02,Élevée,Contact professionnel publié sur le site officiel
C-0008,P-0039,Capitainerie et restaurant du port,,Capitainerie / autorité portuaire,SPL Sud Plaisance,04 94 96 74 25,port@splsudplaisance.fr,Autorité projet,https://www.sainte-maxime.com/explorer/la-mer-a-linfini/le-port-de-sainte-maxime/,2026-08-02,Élevée,Autorité portuaire ; futur exploitant du restaurant à identifier
C-0009,P-0040,Bar Gustave - Hôtel Hermitage,,Réservations hôtellerie et restauration,Monte-Carlo Société des Bains de Mer,+377 98 06 25 25,resort@sbm.mc,Groupe exploitant,https://www.montecarlosbm.com/fr/hotel-monaco/hotel-hermitage-monte-carlo,2026-08-02,Élevée,Contact central du groupe exploitant
C-0010,P-0041,Nouvelle concession de la plage Mala,,Exploitant actuel de la plage,CAP Resort,+33 (0)4 93 78 21 56,lareserve@capresort.com,Exploitant actuel,https://www.capresort.com/contact-reserve-mala/,2026-08-02,Moyenne,L'attribution future peut changer l'exploitant
C-0011,P-0042,Renouvellement concessions Carnolès,,Service commande publique,Commune de Roquebrune-Cap-Martin,+33 (0)4 92 10 48 11,service.marches@mairiercm.fr,Autorité délégante,https://www.roquebrune-cap-martin.fr/16130-marches-publics.htm,2026-08-02,Élevée,Service public en charge de la procédure
C-0012,P-0043,Restructuration Vieux Port Golfe-Juan,,Autorité portuaire,Ville de Vallauris Golfe-Juan,04 97 04 78 89,,Autorité projet,https://www.vallauris-golfe-juan.fr/20757-les-plages-et-le-nautisme.htm,2026-08-02,Élevée,Autorité du Vieux Port ; futur exploitant commercial à identifier
